AWO_02_NA	AWO 02_NA DU
AWO_02_PA	AWO 02_PA DU
AWO_02_SA	AWO 02_SA DU
AWO_03_NA	AWO 03_NA DU
AWO_03_PA	AWO 03_PA DU
AWO_03_SA	AWO 03_SA DU
AWO_04_NA	AWO 04_NA DU
AWO_04_PA1	AWO 04_PA1 DU
AWO_04_PA2	AWO 04_PA2 DU
AWO_05_NA	AWO 05_NA DU
AWO_06_NA	AWO 06_NA DU
AWO_06_PA	AWO 06_PA DU
AWO_07N_NA	AWO 07N_NA DU
AWO_07N_PA	AWO 07N_PA DU
AWO_07S_NA	AWO 07S_NA DU
AWO_07S_PA	AWO 07S_PA DU
AWO_08N_NA	AWO 08N_NA DU
AWO_08N_PA	AWO 08N_PA DU
AWO_08N_PR1	AWO 08N_PR1 DU
AWO_08N_PR2	AWO 08N_PR2 DU
AWO_08N_SA1	AWO 08N_SA1 DU
AWO_08N_SA2	AWO 08N_SA2 DU
AWO_08S_NA1	AWO 08S_NA1 DU
AWO_08S_NA2	AWO 08S_NA2 DU
AWO_08S_PA	AWO 08S_PA DU
AWO_08S_PR	AWO 08S_PR DU
AWO_08S_SA1	AWO 08S_SA1 DU
AWO_08S_SA2	AWO 08S_SA2 DU
AWO_08S_SA3	AWO 08S_SA3 DU
AWO_09_NA	AWO 09_NA DU
AWO_09_PR	AWO 09_PR DU
AWO_09_SA1	AWO 09_SA1 DU
AWO_09_SA2	AWO 09_SA2 DU
AWO_10_NA	AWO 10_NA DU
AWO_11_NA	AWO 11_NA DU
AWO_11_PR	AWO 11_PR DU
AWO_11_SA1	AWO 11_SA1 DU
AWO_11_SA2	AWO 11_SA2 DU
AWO_11_SA3	AWO 11_SA3 DU
AWO_11_SA4	AWO 11_SA4 DU
AWO_12_NA	AWO 12_NA DU
AWO_12_SA	AWO 12_SA DU
AWO_13_NA	AWO 13_NA DU
AWO_14_NA	AWO 14_NA DU
AWO_15N_NA1	AWO 15N_NA1 DU
AWO_15N_NA2	AWO 15N_NA2 DU
AWO_15N_SA	AWO 15N_SA DU
AWO_15S_NA1	AWO 15S_NA1 DU
AWO_15S_NA2	AWO 15S_NA2 DU
AWO_15S_SA	AWO 15S_SA DU
AWO_16_NA1	AWO 16_NA1 DU
AWO_16_NA2	AWO 16_NA2 DU
AWO_16_PA	AWO 16_PA DU
AWO_16_SA	AWO 16_SA DU
AWO_17N_NA	AWO 17N_NA DU
AWO_17N_NR	AWO 17N_NR DU
AWO_17N_PR	AWO 17N_PR DU
AWO_17S_NA	AWO 17S_NA DU
AWO_17S_PR	AWO 17S_PR DU
AWO_17S_SA	AWO 17S_SA DU
AWO_18_NA	AWO 18_NA DU
AWO_18_SA	AWO 18_SA DU
AWO_19_SA	AWO 19_SA DU
AWO_20_NA1	AWO 20_NA1 DU
AWO_20_NA2	AWO 20_NA2 DU
AWO_20_PA	AWO 20_PA DU
AWO_21_NA	AWO 21_NA DU
AWO_21_PA	AWO 21_PA DU
AWO_21_SA	AWO 21_SA DU
AWO_22_NA	AWO 22_NA DU
AWO_22_SA1	AWO 22_SA1 DU
AWO_22_SA2	AWO 22_SA2 DU
AWO_23_NA	AWO 23_NA DU
AWO_24_NA1	AWO 24_NA1 DU
AWO_24_NA2	AWO 24_NA2 DU
AWO_24_NA3	AWO 24_NA3 DU
AWO_25_NA	AWO 25_NA DU
AWO_25_PA1	AWO 25_PA1 DU
AWO_25_PA2	AWO 25_PA2 DU
AWO_26N_NA	AWO 26N_NA DU
AWO_26S_NA	AWO 26S_NA DU
AWO_50_PA1	AWO 50_PA1 DU
AWO_60N_NA1	AWO 60N_NA1 DU
AWO_60N_NA2	AWO 60N_NA2 DU
AWO_60N_NA3	AWO 60N_NA3 DU
AWO_60N_NA4	AWO 60N_NA4 DU
AWO_60N_NA5	AWO 60N_NA5 DU
AWO_60S_NA1	AWO 60S_NA1 DU
AWO_60S_NA2	AWO 60S_NA2 DU
AWO_60S_PA1	AWO 60S_PA1 DU
AWO_60S_PA2	AWO 60S_PA2 DU
AWO_61_NA1	AWO 61_NA1 DU
AWO_61_NA2	AWO 61_NA2 DU
AWO_61_NA3	AWO 61_NA3 DU
AWO_61_NA4	AWO 61_NA4 DU
AWO_61_NA5	AWO 61_NA5 DU
AWO_61_NA6	AWO 61_NA6 DU
AWO_61_PA1	AWO 61_PA1 DU
AWO_61_PA2	AWO 61_PA2 DU
AWO_61_PA3	AWO 61_PA3 DU
AWO_62_NA1	AWO 62_NA1 DU
AWO_62_NA2	AWO 62_NA2 DU
AWO_62_NA3	AWO 62_NA3 DU
AWO_62_NA4	AWO 62_NA4 DU
AWO_62_NA5	AWO 62_NA5 DU
AWO_62_NA6	AWO 62_NA6 DU
AWO_63_NA1	AWO 63_NA1 DU
AWO_63_NA2	AWO 63_NA2 DU
AWO_63_NA3	AWO 63_NA3 DU
AWO_63_NA4	AWO 63_NA4 DU
AWO_63_NA5	AWO 63_NA5 DU
AWO_63_PR1	AWO 63_PR1 DU
AWO_63_PR2	AWO 63_PR2 DU
AWO_63_PR3	AWO 63_PR3 DU
AWO_64_NA1	AWO 64_NA1 DU
AWO_64_NA2	AWO 64_NA2 DU
AWO_64_PA1	AWO 64_PA1 DU
AWO_64_PA2	AWO 64_PA2 DU
AWO_64_PA3	AWO 64_PA3 DU
AWO_64_XA	AWO 64_XA DU
AWO_71_NA1	AWO 71_NA1 DU
AWO_71_NA2	AWO 71_NA2 DU
AWO_71_NA3	AWO 71_NA3 DU
AWO_71_PA1	AWO 71_PA1 DU
AWO_71_PA2	AWO 71_PA2 DU
AWO_71_PA3	AWO 71_PA3 DU
AWO_71_PA4	AWO 71_PA4 DU
AWO_71_PA5	AWO 71_PA5 DU
AWO_71_PA6	AWO 71_PA6 DU
AWO_71_PA7	AWO 71_PA7 DU
AWO_71_PA8	AWO 71_PA8 DU
AWO_72_NA1	AWO 72_NA1 DU
AWO_72_NA2	AWO 72_NA2 DU
AWO_72_PA	AWO 72_PA DU
AWO_72_PR1	AWO 72_PR1 DU
AWO_72_PR2	AWO 72_PR2 DU
AWO_72_PR3	AWO 72_PR3 DU
AWO_72_PR4	AWO 72_PR4 DU
AWO_72_PR5	AWO 72_PR5 DU
AWO_72_PR6	AWO 72_PR6 DU
AWO_72_XA1	AWO 72_XA1 DU
AWO_72_XA2	AWO 72_XA2 DU
AWO_72_XA3	AWO 72_XA3 DU
AWO_73_NA	AWO 73_NA DU
AWO_73_PA1	AWO 73_PA1 DU
AWO_73_PA2	AWO 73_PA2 DU
AWO_73_PA3	AWO 73_PA3 DU
AWO_73_XA	AWO 73_XA DU
AWO_90_NA	AWO 90_NA DU
AWO_90_PA1	AWO 90_PA1 DU
AWO_90_PA2	AWO 90_PA2 DU
AWO_91_PA	AWO 91_PA DU
AWO_91_PR	AWO 91_PR DU
AWR_02_NA	AWR 02_NA DU
AWR_02_PA	AWR 02_PA DU
AWR_02_SA	AWR 02_SA DU
AWR_03_NA	AWR 03_NA DU
AWR_03_PA	AWR 03_PA DU
AWR_03_SA	AWR 03_SA DU
AWR_04_NA	AWR 04_NA DU
AWR_04_PA1	AWR 04_PA1 DU
AWR_04_PA2	AWR 04_PA2 DU
AWR_05_NA	AWR 05_NA DU
