AWO_02_NA	Applied Water 02_NA
AWO_02_PA	Applied Water 02_PA
AWO_02_SA	Applied Water 02_SA
AWO_03_NA	Applied Water 03_NA
AWO_03_PA	Applied Water 03_PA
AWO_03_SA	Applied Water 03_SA
AWO_04_NA	Applied Water 04_NA
AWO_04_PA1	Applied Water 04_PA1
AWO_04_PA2	Applied Water 04_PA2
AWO_05_NA	Applied Water 05_NA
AWO_06_NA	Applied Water 06_NA
AWO_06_PA	Applied Water 06_PA
AWO_07N_NA	Applied Water 07N_NA
AWO_07N_PA	Applied Water 07N_PA
AWO_07S_NA	Applied Water 07S_NA
AWO_07S_PA	Applied Water 07S_PA
AWO_08N_NA	Applied Water 08N_NA
AWO_08N_PA	Applied Water 08N_PA
AWO_08N_PR1	Applied Water 08N_PR1
AWO_08N_PR2	Applied Water 08N_PR2
AWO_08N_SA1	Applied Water 08N_SA1
AWO_08N_SA2	Applied Water 08N_SA2
AWO_08S_NA1	Applied Water 08S_NA1
AWO_08S_NA2	Applied Water 08S_NA2
AWO_08S_PA	Applied Water 08S_PA
AWO_08S_PR	Applied Water 08S_PR
AWO_08S_SA1	Applied Water 08S_SA1
AWO_08S_SA2	Applied Water 08S_SA2
AWO_08S_SA3	Applied Water 08S_SA3
AWO_09_NA	Applied Water 09_NA
AWO_09_PR	Applied Water 09_PR
AWO_09_SA1	Applied Water 09_SA1
AWO_09_SA2	Applied Water 09_SA2
AWO_10_NA	Applied Water 10_NA
AWO_11_NA	Applied Water 11_NA
AWO_11_PR	Applied Water 11_PR
AWO_11_SA1	Applied Water 11_SA1
AWO_11_SA2	Applied Water 11_SA2
AWO_11_SA3	Applied Water 11_SA3
AWO_11_SA4	Applied Water 11_SA4
AWO_12_NA	Applied Water 12_NA
AWO_12_SA	Applied Water 12_SA
AWO_13_NA	Applied Water 13_NA
AWO_14_NA	Applied Water 14_NA
AWO_15N_NA1	Applied Water 15N_NA1
AWO_15N_NA2	Applied Water 15N_NA2
AWO_15N_SA	Applied Water 15N_SA
AWO_15S_NA1	Applied Water 15S_NA1
AWO_15S_NA2	Applied Water 15S_NA2
AWO_15S_SA	Applied Water 15S_SA
AWO_16_NA1	Applied Water 16_NA1
AWO_16_NA2	Applied Water 16_NA2
AWO_16_PA	Applied Water 16_PA
AWO_16_SA	Applied Water 16_SA
AWO_17N_NA	Applied Water 17N_NA
AWO_17N_NR	Applied Water 17N_NR
AWO_17N_PR	Applied Water 17N_PR
AWO_17S_NA	Applied Water 17S_NA
AWO_17S_PR	Applied Water 17S_PR
AWO_17S_SA	Applied Water 17S_SA
AWO_18_NA	Applied Water 18_NA
AWO_18_SA	Applied Water 18_SA
AWO_19_SA	Applied Water 19_SA
AWO_20_NA1	Applied Water 20_NA1
AWO_20_NA2	Applied Water 20_NA2
AWO_20_PA	Applied Water 20_PA
AWO_21_NA	Applied Water 21_NA
AWO_21_PA	Applied Water 21_PA
AWO_21_SA	Applied Water 21_SA
AWO_22_NA	Applied Water 22_NA
AWO_22_SA1	Applied Water 22_SA1
AWO_22_SA2	Applied Water 22_SA2
AWO_23_NA	Applied Water 23_NA
AWO_24_NA1	Applied Water 24_NA1
AWO_24_NA2	Applied Water 24_NA2
AWO_24_NA3	Applied Water 24_NA3
