WBA02	WBA 2 Reference ET
WBA02_AL_ET	WBA 2 Alfalfa ET
WBA02_AP_ET	WBA 2 Almonds and pistachios ET
WBA02_CO_ET	WBA 2 Cotton ET
WBA02_CR_ET	WBA 2 Corn ET
WBA02_CU_ET	WBA 2 Cucurbits ET
WBA02_DB_ET	WBA 2 Dry beans ET
WBA02_FI_ET	WBA 2 Other field crops ET
WBA02_GR_ET	WBA 2 Grain ET
WBA02_ID_ET	WBA02_ID_ET
WBA02_NV_ET	WBA 2 Native vegetation ET
WBA02_OG_ET	WBA 2 Onions and garlic ET
WBA02_OR_ET	WBA 2 Other deciduous ET
WBA02_PA_ET	WBA 2 Pasture ET
WBA02_PO_ET	WBA 2 Potatoes ET
WBA02_RF_ET	WBA02_RF_ET
WBA02_RI_ET	WBA 2 Rice ET
WBA02_RV_ET	WBA02_RV_ET
WBA02_SB_ET	WBA 2 Sugar beets ET
WBA02_SF_ET	WBA 2 Safflower ET
WBA02_SL_ET	WBA02_SL_ET
WBA02_SO_ET	WBA 2 Sub-tropical ET
WBA02_TH_ET	WBA 2 Tomatoes (hand-picked) ET
WBA02_TM_ET	WBA 2 Tomatoes (machine-picked) ET
WBA02_TR_ET	WBA 2 Other truck ET
WBA02_UR_ET	WBA 2 Urban ET
WBA02_VI_ET	WBA 2 Vineyards ET
WBA03	WBA 3 Reference ET
WBA03_AL_ET	WBA 3 Alfalfa ET
WBA03_AP_ET	WBA 3 Almonds and pistachios ET
WBA03_CO_ET	WBA 3 Cotton ET
WBA03_CR_ET	WBA 3 Corn ET
WBA03_CU_ET	WBA 3 Cucurbits ET
WBA03_DB_ET	WBA 3 Dry beans ET
WBA03_FI_ET	WBA 3 Other field crops ET
WBA03_GR_ET	WBA 3 Grain ET
WBA03_ID_ET	WBA03_ID_ET
WBA03_NV_ET	WBA 3 Native vegetation ET
WBA03_OG_ET	WBA 3 Onions and garlic ET
WBA03_OR_ET	WBA 3 Other deciduous ET
WBA03_PA_ET	WBA 3 Pasture ET
WBA03_PO_ET	WBA 3 Potatoes ET
WBA03_RF_ET	WBA03_RF_ET
WBA03_RI_ET	WBA 3 Rice ET
WBA03_RV_ET	WBA03_RV_ET
WBA03_SB_ET	WBA 3 Sugar beets ET
WBA03_SF_ET	WBA 3 Safflower ET
WBA03_SL_ET	WBA03_SL_ET
WBA03_SO_ET	WBA 3 Sub-tropical ET
WBA03_TH_ET	WBA 3 Tomatoes (hand-picked) ET
WBA03_TM_ET	WBA 3 Tomatoes (machine-picked) ET
WBA03_TR_ET	WBA 3 Other truck ET
WBA03_UR_ET	WBA 3 Urban ET
WBA03_VI_ET	WBA 3 Vineyards ET
WBA04	WBA 4 Reference ET
WBA04_AL_ET	WBA 4 Alfalfa ET
WBA04_AP_ET	WBA 4 Almonds and pistachios ET
WBA04_CO_ET	WBA 4 Cotton ET
WBA04_CR_ET	WBA 4 Corn ET
WBA04_CU_ET	WBA 4 Cucurbits ET
WBA04_DB_ET	WBA 4 Dry beans ET
WBA04_FI_ET	WBA 4 Other field crops ET
WBA04_GR_ET	WBA 4 Grain ET
WBA04_ID_ET	WBA04_ID_ET
WBA04_NV_ET	WBA 4 Native vegetation ET
WBA04_OG_ET	WBA 4 Onions and garlic ET
WBA04_OR_ET	WBA 4 Other deciduous ET
WBA04_PA_ET	WBA 4 Pasture ET
WBA04_PO_ET	WBA 4 Potatoes ET
WBA04_RF_ET	WBA04_RF_ET
WBA04_RI_ET	WBA 4 Rice ET
WBA04_RV_ET	WBA04_RV_ET
WBA04_SB_ET	WBA 4 Sugar beets ET
WBA04_SF_ET	WBA 4 Safflower ET
WBA04_SL_ET	WBA04_SL_ET
WBA04_SO_ET	WBA 4 Sub-tropical ET
WBA04_TH_ET	WBA 4 Tomatoes (hand-picked) ET
WBA04_TM_ET	WBA 4 Tomatoes (machine-picked) ET
WBA04_TR_ET	WBA 4 Other truck ET
WBA04_UR_ET	WBA 4 Urban ET
WBA04_VI_ET	WBA 4 Vineyards ET
WBA05	WBA 5 Reference ET
WBA05_AL_ET	WBA 5 Alfalfa ET
WBA05_AP_ET	WBA 5 Almonds and pistachios ET
WBA05_CO_ET	WBA 5 Cotton ET
WBA05_CR_ET	WBA 5 Corn ET
WBA05_CU_ET	WBA 5 Cucurbits ET
WBA05_DB_ET	WBA 5 Dry beans ET
WBA05_FI_ET	WBA 5 Other field crops ET
WBA05_GR_ET	WBA 5 Grain ET
WBA05_ID_ET	WBA05_ID_ET
WBA05_NV_ET	WBA 5 Native vegetation ET
WBA05_OG_ET	WBA 5 Onions and garlic ET
WBA05_OR_ET	WBA 5 Other deciduous ET
WBA05_PA_ET	WBA 5 Pasture ET
WBA05_PO_ET	WBA 5 Potatoes ET
WBA05_RF_ET	WBA05_RF_ET
WBA05_RI_ET	WBA 5 Rice ET
WBA05_RV_ET	WBA05_RV_ET
WBA05_SB_ET	WBA 5 Sugar beets ET
WBA05_SF_ET	WBA 5 Safflower ET
WBA05_SL_ET	WBA05_SL_ET
WBA05_SO_ET	WBA 5 Sub-tropical ET
WBA05_TH_ET	WBA 5 Tomatoes (hand-picked) ET
